name	category	status	score	reason
shinpr mcp-local-rag	memory-rag	tested	7.4	Strong local RAG quality; first-run handshake timeout required startup_timeout tuning; no native namespace isolation.
yikizi mcp-local-rag	memory-rag	tested	7.0	Global npm install path worked with stable status tool calls; overlaps shinpr feature set but usable.
chroma-core chroma-mcp	memory-rag	tested	7.6	Fast and reliable local persistent vector store with collection namespaces; broad embedding support.
marlian claude-qdrant-mcp	memory-rag	skipped	5.8	Unofficial Qdrant wrapper; intentionally not tested further because official qdrant server is available and preferred.
mhalder qdrant-mcp-server	memory-rag	skipped	6.2	Reasonable project but redundant with official qdrant server tested successfully.
doITmagic rag-code-mcp	memory-rag	tested	7.1	After local Ollama+Qdrant setup, MCP tools were discoverable and callable; docs search needs extra local config.
joinQuantish codebase-rag	memory-rag	tested	4.8	Built/tested in multiple command variants but MCP initialize consistently closed during handshake.
qdrant mcp-server-qdrant	memory-rag	tested	7.7	Official implementation; reliable cross-project retrieval with dashboard-visible shared Qdrant service mode.
er77 code-graph-rag-mcp	memory-rag	tested	7.5	Source build succeeded and rich graph/semantic toolset worked; strong context quality at moderate setup cost.
MCP servers memory ref	memory	tested	7.4	Simple persistent memory graph; very low setup friction; no project namespace isolation by default.
memory-graph	memory	tested	6.8	Local memory graph server started and read/status calls worked; broader feature surface than basic-memory.
puliczek mcp-memory	memory	tested	6.2	Cloudflare remote endpoint worked in authenticated mode; transport/auth variants were sensitive and not fully local-first.
basicmachines basic-memory	memory	tested	7.8	Best memory UX for coding notes; supports project-scoped operations; local-first with optional cloud.
ardaaltinors MemCP	memory	tested	5.6	Local infra and MCP endpoint can run, but auth/API-key flow returned 500 locally and authenticated tool calls were high-latency.
MemCP website	memory	skipped	0.0	Not an MCP server repository; informational website only.
doobidoo mcp-memory-service	memory	tested	5.4	Feature-rich but stdio and HTTP startup handshakes repeatedly failed in this environment.
st3v3nmw sourcerer-mcp	repo-search	tested	6.8	Server starts cleanly and status tool works with real key path; useful semantic search pending indexing.
tecnomanu pampa	memory	tested	5.1	Attempted default and Node22 paths; MCP initialize closed during handshake.
Wildcard deepcontext-mcp	repo-search	tested	6.9	Local and credentialed runs both exposed working status/search tools; requires indexing step for real value.
