repo	has_pkg	has_pyproject	has_cargo	has_dockerfile	readme_found	hints	signals
agentic-developer-mcp	True	False	False	True	True		openai,github,sse,https://,docker
basic-memory	False	True	False	True	True	Docker running.	api key,openai,github,token,oauth,sse,https://,postgres,docker
chroma-mcp	False	True	False	True	True		api key,openai,anthropic,github,https://,chroma
code-graph-rag-mcp	True	False	False	False	True	npx @modelcontextprotocol/inspector add code-graph-rag \ | npx required) | codex mcp add code-graph-rag -- code-graph-rag-mcp | codex mcp add code-graph-rag -- node /absolute/path/to/code-graph-rag-mcp/dist/index.js | codex mcp add ... | claude mcp add-json  code-graph-rag ' { 	openai,github,token,sse,https://
codebase-rag	True	False	False	False	True		api key,openai,github,https://,postgres
codex-mcp-server	True	False	False	False	True	npx -y codex-mcp-server | claude mcp add codex-cli -- npx -y codex-mcp-server	api key,openai,github,token,sse,http://,https://
deepcontext-mcp	True	False	False	False	True	npx @wildcard-ai/deepcontext@latest | claude mcp add deepcontext \ | claude mcp add deepcontext-local \	api key,github,token,sse,https://
in-memoria	True	False	False	True	True	npx in-memoria learn ./my-project | npx in-memoria server | npx
npx in-memoria --help | claude mcp add in-memoria -- npx in-memoria server	github,token,sse,https://
isaacphi-mcp-language-server	False	False	False	False	True		google,github,sse,https://
jonrad-lsp-mcp	True	False	False	True	True	npx
"Note: Claude Desktop is finicky with npx it seems. Sometimes it says the mcp fails but the tools still work. I'll look into this... later 😊 | npx -y --silent -p 'typescript@5.7.3' -p 'typescript-language-server@4.3.3' typescript-language-server --stdio""] | docker run ... | docker run -i --rm -v <LOCAL_DIR>:<REMOTE_DIR> jonrad/lsp-mcp:<version>"	github,https://,docker
kratos-mcp	True	False	False	False	True	npx (no installation required) | npx kratos-mcp | npx --yes kratos-mcp@latest | claude mcp add kratos -- npx --yes kratos-mcp@latest | claude mcp add kratos -- kratos-mcp	anthropic,github,token,sse,https://
langgraph-mcp	False	True	False	False	True		openai,github,token,sse,https://,docker
language-server-mcp	True	False	False	False	True		github,https://
letta-mcp-server	False	False	True	True	True	Docker Compose | docker run -d \	github,sse,http://,https://,docker
lsmcp	True	False	False	False	True	"npx @mizchi/lsmcp init -p tsgo | npx -- -y @mizchi/lsmcp -p tsgo | npx -- -y @mizchi/lsmcp --bin=""<lsp-command>"" | claude mcp add lsmcp npx -- -y @mizchi/lsmcp -p tsgo | claude mcp add lsmcp npx -- -y @mizchi/lsmcp --bin=""<lsp-command>"""	github,sse,https://
lsp-mcp-rs	False	False	True	False	True
mcp-agent	False	True	False	False	True	uvx mcp-agent | uvx mcp-agent init | uvx mcp-agent deploy my-agent	api key,openai,anthropic,google,github,token,oauth,sse,https://
