name	category	url	repo	local_dir	ui_signal	evidence
shinpr mcp-local-rag	memory	https://github.com/shinpr/mcp-local-rag	shinpr/mcp-local-rag	<STACK_ROOT>/servers/shinpr-mcp-local-rag	none-detected	
yikizi mcp-local-rag	memory	https://github.com/yikizi/mcp-local-rag	yikizi/mcp-local-rag	<STACK_ROOT>/servers/yikizi-mcp-local-rag	none-detected	
chroma-core chroma-mcp	memory	https://github.com/chroma-core/chroma-mcp	chroma-core/chroma-mcp		not-cloned	
marlian claude-qdrant-mcp	memory	https://github.com/marlian/claude-qdrant-mcp	marlian/claude-qdrant-mcp		not-cloned	
mhalder qdrant-mcp-server	memory	https://github.com/mhalder/qdrant-mcp-server	mhalder/qdrant-mcp-server		not-cloned	
doITmagic rag-code-mcp	memory	https://github.com/doITmagic/rag-code-mcp	doITmagic/rag-code-mcp		not-cloned	
joinQuantish codebase-rag	memory	https://github.com/joinQuantish/codebase-rag	joinQuantish/codebase-rag		not-cloned	
qdrant mcp-server-qdrant	memory	https://github.com/qdrant/mcp-server-qdrant	qdrant/mcp-server-qdrant	<STACK_ROOT>/servers/qdrant-mcp-server-qdrant	none-detected	
er77 code-graph-rag-mcp	memory	https://github.com/er77/code-graph-rag-mcp/	er77/code-graph-rag-mcp		not-cloned	
MCP servers memory ref	memory	https://github.com/modelcontextprotocol/servers/tree/main/src/memory	modelcontextprotocol/servers		not-cloned	
memory-graph	memory	https://github.com/memory-graph/memory-graph	memory-graph/memory-graph		not-cloned	
puliczek mcp-memory	memory	https://github.com/puliczek/mcp-memory	puliczek/mcp-memory	<STACK_ROOT>/servers/puliczek-mcp-memory	none-detected	
basicmachines basic-memory	memory	https://github.com/basicmachines-co/basic-memory	basicmachines-co/basic-memory		not-cloned	
ardaaltinors MemCP	memory	https://github.com/ardaaltinors/MemCP	ardaaltinors/MemCP		not-cloned	
MemCP website	memory	https://mcp.altinors.com/	-		website-doc-only	
doobidoo mcp-memory-service	memory	https://github.com/doobidoo/mcp-memory-service	doobidoo/mcp-memory-service		not-cloned	
st3v3nmw sourcerer-mcp	memory	https://github.com/st3v3nmw/sourcerer-mcp	st3v3nmw/sourcerer-mcp		not-cloned	
tecnomanu pampa	memory	https://github.com/tecnomanu/pampa	tecnomanu/pampa		not-cloned	
Wildcard deepcontext-mcp	memory	https://github.com/Wildcard-Official/deepcontext-mcp	Wildcard-Official/deepcontext-mcp		not-cloned	
jbenshetler mcp-ragex	memory	https://github.com/jbenshetler/mcp-ragex	jbenshetler/mcp-ragex		not-cloned	
adam-hanna semantic-search-mcp	memory	https://github.com/adam-hanna/semantic-search-mcp	adam-hanna/semantic-search-mcp		not-cloned	
oculairmedia Letta-MCP-server	memory	https://github.com/oculairmedia/Letta-MCP-server	oculairmedia/Letta-MCP-server		not-cloned	
esxr langgraph-mcp	memory	https://github.com/esxr/langgraph-mcp	esxr/langgraph-mcp		not-cloned	
ceorkm kratos-mcp	memory	https://github.com/ceorkm/kratos-mcp	ceorkm/kratos-mcp		not-cloned	
pi22by7 In-Memoria	memory	https://github.com/pi22by7/In-Memoria	pi22by7/In-Memoria		not-cloned	
eslint MCP docs	other	https://eslint.org/docs/latest/use/mcp	-		website-doc-only	
tuannvm codex-mcp-server	other	https://github.com/tuannvm/codex-mcp-server	tuannvm/codex-mcp-server		not-cloned	
